feature,ks_stat,p_value
A_malt_all,0.07,0.5237842108066766
A_malt_grain,0.05,0.8878743387468179
A_malt_bread,0.055,0.8084857415008071
A_malt_cara,0.05,0.8878743387468179
A_malt_burn,0.0275,0.9999503768313441
A_hops_all,0.0975,0.15513592446070518
A_hops_citrus,0.06,0.7161848267754904
A_hops_tropical,0.04,0.9817438034331898
A_hops_noble,0.0625,0.6677679087796531
A_hops_woody,0.0925,0.20004736274388757
A_esters_all,0.0375,0.9910574454396103
A_esters_ethac,0.025,0.9999954890545343
A_esters_isoaa,0.045,0.9468003718156517
A_esters_flower,0.0275,0.9999503768313441
A_esters_fruity,0.04,0.9817438034331898
F_malt_all,0.06,0.7161848267754904
F_malt_grain,0.0525,0.8503140351383752
F_malt_bread,0.0575,0.7634242438698546
F_malt_cara,0.0575,0.7634242438698546
F_malt_burn,0.065,0.6190713161830892
F_hops_all,0.07,0.5237842108066766
F_hops_citrus,0.0575,0.7634242438698546
F_hops_tropical,0.0475,0.9202562631263042
F_hops_noble,0.0725,0.47833041734593434
F_hops_woody,0.07,0.5237842108066766
F_esters_all,0.0425,0.9672282978991504
F_esters_ethac,0.04,0.9817438034331898
F_esters_isoaa,0.0375,0.9910574454396103
F_esters_flower,0.065,0.6190713161830892
F_esters_fruity,0.0375,0.9910574454396103
acidity,0.065,0.6190713161830892
bitternes,0.08,0.3550125902842471
sweetness,0.0275,0.9999503768313441
X4vg,0.07,0.5237842108066766
diacetyl,0.035,0.9962936537490669
dms,0.0425,0.9672282978991504
metallic,0.0275,0.9999503768313441
stale_hops,0.0375,0.9910574454396103
t2n,0.035,0.9962936537490669
orange,0.045,0.9468003718156517
coriander,0.0325,0.9987683191704525
clove,0.045,0.9468003718156517
lactic,0.07,0.5237842108066766
acetic,0.0525,0.8503140351383752
barnyard,0.035,0.9962936537490669
alcohol,0.035,0.9962936537490669
aftertaste,0.0675,0.5708652482410211
body,0.0225,0.9999998266852096
co2,0.0425,0.9672282978991504
overall,0.035,0.9962936537490669
